country,pr_1980,cl_1980,pr_1985,cl_1985,pr_1990,cl_1990,pr_1995,cl_1995,pr_2000,cl_2000,pr_2005,cl_2005,pr_2010,cl_2010,pr_2015,cl_2015,pr_2020,cl_2020,basic_water_access,basic_sanit_access,fin_services,improved_water_access,improved_sanit_access,limited_water_access,limited_sanit_access,safe_water_access,unimproved_water_access,unimproved_sanit_access,agricultural_land,teacher_sal,total_sch_adult,corrupt_business,childmort_ihme,continent,corruption_perception,conf_terr_deaths,dtp_vax_pct,humanrights_fsi,gdppc_ppp,gdppc_ppp_current,gini,gini3,gini2,hunger_index_ifpri,corrupt_gov,hdi_undp,humanrights_fariss,corrupt_judges,corrupt_legislature,corrupt_localgov,mil_spend_pct_gdp,mil_spend_total,cell_subscribers_per100,childmort_,no_water_access,no_sanit_access,gdppc_output_pwt,docs_perk,corrupt_police,regime,pop_est2,pop_est,pop_total,corrupt_exec,corrupt_relig,corrupt_tax,ruggedness,tax_rev_ictd,corrupt_trad,worldbank_region,col.belgium,col.britain,col.france,col.germany,col.italy,col.netherlands,col.portugal,col.spain,colstart.belgium_max,colstart.britain_max,colstart.france_max,colstart.germany_max,colstart.italy_max,colstart.netherlands_max,colstart.portugal_max,colstart.spain_max,colend.belgium_max,colend.britain_max,colend.france_max,colend.germany_max,colend.italy_max,colend.netherlands_max,colend.portugal_max,colend.spain_max,colstart.belgium_mean,colstart.britain_mean,colstart.france_mean,colstart.germany_mean,colstart.italy_mean,colstart.netherlands_mean,colstart.portugal_mean,colstart.spain_mean,colend.belgium_mean,colend.britain_mean,colend.france_mean,colend.germany_mean,colend.italy_mean,colend.netherlands_mean,colend.portugal_mean,colend.spain_mean
Afghanistan,7,7,7,7,7,7,7,7,7,7,5,5,6,6,6,6,5,6,75.09141325,50.49964687,9.961,76.53895494,61.44284702,1.447541688,10.94320015,27.58895624,14.56026288,27.77339158,37919000,NA,3.8,35,5.577000000000001,Asia,16,24295,66,8.3,1978.96157872183,2087.63639400062,NA,NA,NA,34.3,43,0.498,-2.311016703,60,40,NA,1.17390797773909,187000000,59.3560197,6.03,8.900782174,10.78376141,NA,0.2782,33,-1,39835428,39835428,38928341,NA,20,NA,NA,7.11463,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,7,7,7,7,7,6,3,4,4,5,3,3,3,3,3,3,3,3,95.06803883,99.29879315,37.98635,96.95269492,99.8707445,1.884656092,0.571951352,70.67453739,3.047305081,0.1292555,1174081,NA,10,29,1.399,Europe,36,0,99,5.5,13295.4108845409,13817.7589656756,33.17109,31.74,28.959999,12.2,52,0.785,0.851179641,81,66,NA,1.27255921985547,142000000,91.29301538,0.97,0,0,11941.197,1.2164,58,9,2872934,2872934,2837743,NA,9,NA,NA,25.142702,NA,Eastern Europe and Central Asia,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,6,6,6,6,4,4,6,6,6,5,6,5,6,5,6,5,6,5,94.43732996,85.96546957,50.47579,99.4232108,96.47162186,4.985880842,10.50615229,72.3814561,0.531836664,3.528378142,41358847,NA,8,74,2.411,Africa,35,13,91,7.4,10681.6792969827,11268.2644722324,27.61573,NA,NA,9.4,62,0.754,0.354196847,72,62,NA,6.00952348900797,10654000000,109.3560773,2.33,0.044952533,0,12323.576,1.7193,66,2,44616626,44616626,43851043,NA,15,NA,NA,14.107712,NA,NA,0,0,1,0,0,0,0,0,NA,NA,1848,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,1836,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,100,100,NA,100,100,0,0,90.64000336,0,0,18830,NA,10.2,NA,0.211,Europe,NA,0,99,NA,NA,NA,NA,NA,NA,NA,NA,0.858,4.221864964,NA,NA,NA,NA,NA,113.9573773,0.30000000000000004,0,0,NA,3.3333,NA,NA,77354,77354,77265,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,7,7,7,7,7,7,6,6,6,6,6,5,6,5,6,6,6,5,57.16773762,51.66032915,29.31812,66.45508754,72.66184945,9.287349919,21.00152029,NA,19.45082534,9.369829457,56952490,NA,5.1,NA,7.104000000000001,Africa,19,16,57,7,6198.08384070806,6538.45205387291,51.27211000000001,NA,NA,29.5,NA,0.581,-0.388862744,NA,NA,NA,1.64466112900931,3232000000,46.59863797,7.470000000000001,14.09408712,17.9683211,4993.8457,0.2146,NA,-2,33933611,33933611,32866268,NA,NA,NA,NA,17.681389,NA,NA,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1576,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,1576,NA,NA,NA,NA,NA,NA,NA,1974,NA
Antigua and Barbuda,NA,NA,2,3,3,2,4,3,4,2,2,2,3,2,2,2,2,2,96.73918628,87.50428238,NA,96.73918628,91.67886542,0,4.174583031,NA,3.16634761,8.057005671,9000,NA,9.2,NA,1.281,North America,NA,0,95,4.7,17956.315715683,18942.3880651775,NA,NA,NA,NA,NA,0.78,1.335031449,NA,NA,NA,NA,NA,192.819567,0.66,0.094466114,0.264128913,7879.6758,2.956,NA,NA,98728,98728,97928,NA,NA,NA,NA,14.981992,NA,NA,0,1,0,0,0,0,0,0,NA,1632,NA,NA,NA,NA,NA,NA,NA,1981,NA,NA,NA,NA,NA,NA,NA,1632,NA,NA,NA,NA,NA,NA,NA,1974,NA,NA,NA,NA,NA,NA
Argentina,6,5,2,2,1,3,2,3,1,2,2,2,2,2,2,2,2,2,99.0238575,95.41770247,50.1973,99.0238575,97.40155752,0,1.983855047,NA,0.613022724,2.598442482,148768000,16567.0158899497,9.9,49,1.2060000000000002,South America,40,0,86,4.4,19686.523658911,20767.6105001703,NA,51.060001,42.400002,5.3,77,0.825,0.784109255,65,72,NA,0.706520712488669,6164000000,125.842106,0.9300000000000002,0.363119771,1.578222119,16466.732,3.9901,70,9,45605823,45605823,45376763,NA,34,NA,NA,28.645779,NA,Latin America and Caribbean,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1580,NA,NA,NA,NA,NA,NA,NA,1819,NA,NA,NA,NA,NA,NA,NA,1565,NA,NA,NA,NA,NA,NA,NA,1818
Armenia,NA,NA,NA,NA,NA,NA,4,4,4,4,5,4,6,4,5,4,4,4,99.97118069,93.93674174,17.23996,99.97118069,94.36178677,0,0.425045028,86.91066001,0.028819308,5.627529653,1677300,NA,11.7,51,1.0550000000000002,Asia,35,0,92,6.8,12592.6353675009,13284.160830729,29.87821,35.360001,32.360001,7.6,68,0.755,0.106262163,69,57,NA,4.94572687070593,423000000,122.3487531,1.1800000000000002,0,0.010683577,10182.28,4.4023,66,5,2968128,2968128,2963234,NA,39,NA,NA,22.670324,NA,Eastern Europe and Central Asia,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99.96981182,99.99115238,98.85957,99.96981182,99.99115238,0,0,NA,0.030188179,0.008847618,358895000,40902.1907484802,12.9,20,0.417,Oceania,77,0,95,2.3,48697.8370282475,52518.3244830382,34.399429999999995,31.1,32.299999,NA,12,0.939,1.753645266,4,12,NA,1.87980239539543,24371000000,110.6208823,0.36000000000000004,0,0,47392.621,3.6778,5,10,25788217,25788217,25687041,NA,17,NA,NA,29.395667,NA,Advanced industrial economies,0,1,0,0,0,0,0,0,NA,1829,NA,NA,NA,NA,NA,NA,NA,1919,NA,NA,NA,NA,NA,NA,NA,1798,NA,NA,NA,NA,NA,NA,NA,1904,NA,NA,NA,NA,NA,NA
Austria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,99.97260464,96.73406,100,99.97260464,0,0,98.900642,0,0.027395359,2652830,33998.9199042206,12.1,NA,0.381,Europe,76,0,85,2,51935.6038618156,55097.4612258328,30.84879,29.459999,30.530001,NA,NA,0.908,2.275798607,NA,NA,NA,0.725448726520338,2829000000,119.7752968,0.35000000000000003,0,0,46103.27,5.1697,NA,10,9043072,9043072,8917205,NA,NA,NA,NA,43.073051,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
