country,year,agricultural_land,co2_emissions,arable_land,total_sch_adult,childmort_ihme,conf_terr_deaths,dtp_vax_pct,fertility,hdi_undp,humanrights_fariss,cell_subscribers_per100,childmort_,gdppc_output_pwt,docs_perk,pop_est,pop_total,agricultural_employment,tax_rev_pct_gdp_total,tax_rev_pct_gdp,urbanization,area_sqmi,ever_colonized,ncolonizers,col1start,col1end,col1length,totalyrs_colonized,modern_sovereignty_current_name,state_age,fmr_soviet,col.belgium,col.britain,col.france,col.germany,col.italy,col.netherlands,col.portugal,col.spain,fertilit,value,gdppc_wb2005,gdppc_imf2005,populati,cow_code_n,un_code_n,pts_a,pts_s,na_status_a,na_status_h,na_status_s,rugged,rugged_popw,rugged_slope,rugged_lsd,rugged_pc,land_area,lat,lon,soil,desert,tropical,dist_coast,near_coast,gemstones,q_rule_law,cont_africa,cont_asia,cont_europe,cont_oceania,cont_north_america,cont_south_america,legor_gbr,legor_fra,legor_soc,legor_deu,legor_sca,colony_esp,colony_gbr,colony_fra,colony_prt,colony_oeu,africa_region_n,africa_region_s,africa_region_w,africa_region_e,africa_region_c,slave_exports,pop_1400,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,urban_pop_pct,urban_pop_growth,pop_growth,under5mortality,primary_sch_completion,gender_parity_school,ag_forest_fish_pct_gdp,no2_emissions_total,methane_emissions_total,greenhouse_emissions_total,other_greenhouse_total,co2_solidfuel_pct,co2_solidfuel_total,co2_emissions_percap,co2_liquidfuel_pct,co2_liquidfuel_total,co2_emissions_total,co2_emissions_pergdp,co2_emissions_gas_pct,co2_emissions_gas_total,fdi_inflows,grain_yield,pct_arable_land,pct_agricultural_land,agricultural_land_total
Afghanistan,2020,37919000,12160286,11.7988542719726,3.8,5.577000000000001,NA,66,4.176,0.498,-2.311016703,59.3560197,6.03,NA,0.2782,38928341,38928341,42.5,7.11463,2.768312,26.026,251,0,0,0,0,0,0,1823,197,0,0,0,0,0,0,0,0,0,4.653,5,463,455,35530081,700,4,5,5,0,0,0,2.518,1.469,7.414,0.72,39.004,65209,33.833,66.026,27.849,4.356,0,0.922,0,0,-1.687,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870829,30.4,2.4,31.1,2.8,25.495,3.350382976,2.3847611,67.9,29.06965065,0.649800003,20.46650517,3423.68712,13763.166,18168.86,-6528.831159,44.63551402,4378.398,0.293946407,52.07476636,5108.131,9809.225,0.503629381,2.76635514,271.358,0.255222349,2024.7,11.83867904,58.06757957,379100
Åland Islands,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,2020,1174081,4534673,22.311897810219,10,1.399,0,99,1.58,0.785,0.851179641,91.29301538,0.97,11941.197,1.2164,2877800,2837743,36.41999817,25.142702,4.778715,62.112,NA,0,0,0,0,0,0,1912,108,0,0,0,0,0,0,0,0,0,1.793,3,3914,3878,2873457,339,8,2,2,0,88,0,3.427,1.597,10.451,1.006,62.133,2740,41.143,20.07,68.088,0,0,0.048,94.6919,0,-0.82,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,38.3,2.9,43.9,5.3,60.319,1.317162104,-0.246732042,8.8,106.7322922,0.952170014,18.394904,1146.044766,2644.2174,8898.640911,900.0224291,12.25144323,700.397,1.978763312,67.54329699,3861.351,5716.853,0.448382438,1.02629891,58.672,8.015614933,4813,22.63868569,43.12773544,11816.99951
Algeria,2020,41358847,154995460,3.15106344476582,8,2.411,NA,91,2.9419999999999997,0.754,0.354196847,109.3560773,2.33,12323.576,1.7193,43851043,43851043,9.600000381,14.107712,6.547928,73.733,920,1,1,1848,1962,114,114,1962,58,0,0,0,1,0,0,0,0,0,2.805,6,3699,3769,41318142,615,12,3,2,0,0,0,0.51,1.368,1.445,0.14,4.885,238174,28.168,2.647,9.59,23.277,0,0.752,4.17952,0,-1.153,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,61834.148,1588836,32.2,2.5,33.2,3,72.629,2.804995677,2.00737383,24,105.6287994,0.994189978,12.27216437,6382.0227,48527.01,176471.2268,-8205.257102,0.375778669,546.383,3.735520147,36.37234874,52885.474,145400.217,0.795017388,50.82091246,73893.717,0.716757645,990.7,3.108735712,17.36553915,413601.9922
American Samoa,2020,4900,NA,15,NA,1.1500000000000001,0,NA,NA,NA,NA,3.770044068,NA,NA,0.781,55197,55197,NA,NA,NA,87.153,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55641,NA,NA,NA,NA,NA,NA,NA,2.647,1.63,7.032,0.792,44.303,20,-14.2,-170.388,100,0,100,0,100,0,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,87.153,-0.299515835,-0.279065762,NA,NA,NA,NA,23.688123,13.11516,58.76551929,7.11e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,24.50000048,49.00000095
Andorra,2020,18830,466294,1.76595744680851,10.2,0.211,0,99,NA,0.858,4.221864964,113.9573773,0.30000000000000004,NA,3.3333,77265,77265,NA,NA,NA,87.916,NA,0,0,0,0,0,0,1278,742,0,0,0,0,0,0,0,0,0,1.27,1,34732,33330,76965,232,20,NA,1,88,88,0,5.717,6.722,17.774,1.616,99.064,47,42.551,1.576,0,0,0,0.134,0,0,1.515,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,31.4,4.6,38.8,7.3,88.062,-0.092859413,0.006493211,3.3,NA,1.025099993,0.483530784,0.01569282,NA,NA,NA,0,0,5.832906215,100,462.042,462.042,0.142997742,0,0,NA,NA,1.659574407,39.95744827,187.8000069
Angola,2020,56952490,22198161,3.93037619314992,5.1,7.104000000000001,1,57,5.371,0.581,-0.388862744,46.59863797,7.470000000000001,4993.8457,0.2146,32866267,32866268,50.72999954,17.681389,2.061875,66.825,481,1,1,1576,1975,399,399,1975,45,0,0,0,0,0,0,0,1,0,5.996,6,3146,3385,29784193,540,24,2,3,0,0,0,0.858,0.714,2.274,0.228,4.906,124670,-12.299,17.551,26.676,0.425,44.346,0.428,13.1587,47756,-1.567,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3610000,1223208,47.2,2.1,48.4,2.4,65.514,4.311791342,3.276133875,81.1,46.08610916,0.620949984,10.01699586,3641.26434,18974.448,41657.16485,-3705.349496,0,0,1.290306776,56.01265823,19471.77,34763.16,0.335737762,1.666666667,579.386,-5.420744964,904.5,3.930376193,47.47734018,591900
Anguilla,2020,NA,123426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13876.875,NA,15002,NA,NA,18.596839,1.572202,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,15297,15016,NA,NA,NA,NA,NA,NA,NA,NA,0.013,0.01,0.026,0.006,0,9,18.231,-63.064,100,0,100,0,100,0,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,36.9,3.4,36,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antarctica,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua & Barbuda,2020,9000,430410,9.09090909090909,9.2,1.2810000000000001,0,95,1.9780000000000002,0.78,1.335031449,192.819567,0.66,7879.6758,2.956,97928,97928,NA,14.981992,1.763361,24.433,1,1,1,1632,1981,349,349,1981,39,0,0,1,0,0,0,0,0,0,2.063,2,12087,12166,102012,58,28,NA,2,88,88,0,0.006,0.003,0.012,0.003,0,44,17.271,-61.8,100,0,100,0.001,100,0,0.99,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,747,47.2,5.8,45.1,7.4,24.599,0.43158229,0.89718512,7.4,81.80168915,0.96232003,1.714718243,25.8613656,43.273398,552.7479143,111.4403714,0,0,5.744419956,100,531.715,531.715,0.435396193,0,0,7.478839395,1584.5,9.090909091,20.45454545,90
