Variable name,Description,Source,Number missing in static data,% missing in static data,In static data,Number missing in over-time data,% missing in over-time data,In over-time data
country,"Country name, uses 'country.name.en"" from package countrycode",ID variable,0,0,1,0,0,1
year,Year (includes 1960-2020),ID variable,0,0,1,0,0,1
agricultural_land,Total agricultural land,OWID,30,0.13,1,1555,0.16,1
co2_emissions,Total CO2 emissions,OWID,32,0.13,1,810,0.09,1
arable_land,Total arable land,OWID,44,0.18,1,1983,0.21,1
total_sch_adult,"Total schooling, adults",OWID,57,0.24,1,4451,0.47,1
conf_terr_deaths,Deaths from conflict and terrorism,OWID,69,0.29,1,3466,0.36,1
dtp_vax_pct,Percent of 3yo's vaccinated for DTP,OWID,57,0.24,1,2474,0.26,1
fertility,Children per woman,OWID,50,0.21,1,1408,0.15,1
hdi_undp,Human Development Index per UN Development Program,OWID,61,0.26,1,4589,0.48,1
humanrights_fariss,Human rights score from Fariss & Schnakenburg (sp?),OWID,57,0.24,1,2648,0.28,1
cell_subscribers_per100,Cell phone subscribers per,OWID,37,0.16,1,1590,0.17,1
childmort_,Child mortality (World Bank data),OWID,57,0.24,1,1947,0.2,1
gdppc_output_pwt,"GDP per capita, output",OWID,66,0.28,1,2899,0.3,1
pop_est,Estimated population,OWID,15,0.06,1,15,0,1
pop_total,Total population (World Bank),OWID,35,0.15,1,815,0.09,1
agricultural_employment,Total agricultural employment,OWID,63,0.26,1,4156,0.44,1
tax_rev_pct_gdp_total,"Tax revenue as percent of GDP, alt measure",OWID,59,0.25,1,3819,0.4,1
tax_rev_pct_gdp,Tax revenue as percent of GDP,OWID,60,0.25,1,4339,0.46,1
urbanization,Urbanization (not sure the metric),OWID,36,0.15,1,843,0.09,1
area_sqmi,Country's area in square miles,?,58,0.24,1,1736,0.18,1
ever_colonized,Ever colonized by any country,COLDAT dataset,0,0,1,1736,0.18,1
ncolonizers,Total number of colonizers,COLDAT dataset,0,0,1,1736,0.18,1
col1start,First year of colonization by this colonizer,COLDAT dataset,0,0,1,4360,0.46,1
col1end,Final year of colonization by this colonizer,COLDAT dataset,0,0,1,4360,0.46,1
col1length,Total years of colonization by this colonizer,COLDAT dataset,0,0,1,4360,0.46,1
totalyrs_colonized,Total years colonized by any colonizer,COLDAT dataset,0,0,1,4360,0.46,1
modern_sovereignty_current_name,Year country became sovereign,COLDAT dataset,59,0.25,1,1777,0.19,1
state_age,How long has this state had sovereignty?,COLDAT dataset,58,0.24,1,1736,0.18,1
fmr_soviet,Former Soviet republic,COLDAT dataset,58,0.24,1,1736,0.18,1
col.belgium,Was ever colonized by indicated country,COLDAT dataset,0,0,1,1736,0.18,1
col.britain,Was ever colonized by indicated country,COLDAT dataset,0,0,1,1736,0.18,1
col.france,Was ever colonized by indicated country,COLDAT dataset,0,0,1,1736,0.18,1
col.germany,Was ever colonized by indicated country,COLDAT dataset,0,0,1,1736,0.18,1
col.italy,Was ever colonized by indicated country,COLDAT dataset,0,0,1,1736,0.18,1
col.netherlands,Was ever colonized by indicated country,COLDAT dataset,0,0,1,1736,0.18,1
col.portugal,Was ever colonized by indicated country,COLDAT dataset,0,0,1,1736,0.18,1
col.spain,Was ever colonized by indicated country,COLDAT dataset,0,0,1,1736,0.18,1
fertilit,Children per woman,World Bank,44,0.18,1,2541,0.27,1
value,Ignore,?,56,0.24,1,1846,0.19,1
gdppc_wb2005,"GDP per capita, World Bank definition, 2005 dollars",James et al.,41,0.17,1,2092,0.22,1
gdppc_imf2005,"GDP per capita (International Monetary Fund definition, 2005 dollars)",James et al.,41,0.17,1,2092,0.22,1
populati,"Total population (World Bank), alt measure",World Bank,35,0.15,1,1479,0.16,1
cow_code_n,Country code from Correlates of War project,Correlates of War,57,0.24,1,2459,0.26,1
un_code_n,UN country code,United Nations,56,0.24,1,2422,0.25,1
pts_a,Political Terror Scale,Political Terror Scale,68,0.29,1,4621,0.49,1
pts_s,Political Terror Scale,Political Terror Scale,55,0.23,1,3386,0.36,1
na_status_a,Ignore,Political Terror Scale,53,0.22,1,2311,0.24,1
na_status_h,Ignore,Political Terror Scale,53,0.22,1,2311,0.24,1
na_status_s,Ignore,Political Terror Scale,53,0.22,1,2311,0.24,1
rugged,Ruggedness,Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
rugged_popw,Ruggedness (alt measure),Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
rugged_slope,Ruggedness (alt measure),Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
rugged_lsd,Ruggedness (alt measure),Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
rugged_pc,Ruggedness (alt measure),Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
land_area,Total land area of country,Ruggedness/geogrpahy data,22,0.09,1,481,0.05,1
lat,Latitude (mean),Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
lon,Longitude (mean,Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
soil,Soil quality indicator?,Ruggedness/geogrpahy data,27,0.11,1,486,0.05,1
desert,Percent of land that is desert,Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
tropical,Percent of land in tropical latitude,Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
dist_coast,Distance from coast,Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
near_coast,% of country near coastline,Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
gemstones,Gemstone production total,Ruggedness/geogrpahy data,18,0.08,1,378,0.04,1
q_rule_law,Rule of law,NA,53,0.22,1,1531,0.16,1
cont_africa,Country is in indicated continent,NA,18,0.08,1,378,0.04,1
cont_asia,Country is in indicated continent,NA,18,0.08,1,378,0.04,1
cont_europe,Country is in indicated continent,NA,18,0.08,1,378,0.04,1
cont_oceania,Country is in indicated continent,NA,18,0.08,1,378,0.04,1
cont_north_america,Country is in indicated continent,NA,18,0.08,1,378,0.04,1
cont_south_america,Country is in indicated continent,NA,18,0.08,1,378,0.04,1
legor_gbr,Ignore,NA,40,0.17,1,1019,0.11,1
legor_fra,Ignore,NA,40,0.17,1,1019,0.11,1
legor_soc,Ignore,NA,40,0.17,1,1019,0.11,1
legor_deu,Ignore,NA,40,0.17,1,1019,0.11,1
