fipscode,stname,ctyname,HS.pct.1970,HS.pct.2015,BA.pct.1970,BA.pct.2015,netmigration2016,netmigration.pct,netmigration.pct.corrected,Unemployment_rate_2007,Unemployment_rate_2010,Unemployment_rate_2013,Unemployment_rate_2016,votes_dem,votes_gop,total_votes,per_dem,per_gop,per_point_diff,rural,statecode,countycode,state,county,poor_fair_health,poor_phys_health,poor_ment_health,low_bw_black,low_bw_hisp,low_bw_white,excess_drinking,dui_deaths_percap,sti_percap,teen_births_percap,teen_births_black,teen_births_hisp,teen_births_white,pct_uninsured,pop_pcp_ratio,pop_dentist_ratio,pop_other_ratio,mammogram_black,mammogram_hisp,mammogram_white,HS_comp_pct,somecollege_pct,unemp_pct,childpov_pct,childpov_aian,childpov_aapi,childpov_black,childpov_hisp,childpov_white,income_ineq,viol_crim,airpollution,water_viols,housing_probs,high_housing_costs,overcrowding,lack_kitchen_plumbing,life_expect,life_expect_aian,life_expect_aapi,life_expect_black,life_expect_hisp,life_expect_white,freq_phys_distress,freq_ment_distress,diabetes_pct,hiv_pct,food_insec,insuff_sleep_pct,uninsured_adults,uninsured_children,HS_grad_pct,med_hh_income,med_hh_income_aian,med_hh_income_aapi,med_hh_income_black,med_hh_income_hisp,med_hh_income_white,children_freelunch_pct,segregation_black_white,segregation_nonwhite_white,population,pct_under_18,pct_over_65,pct_black,pct_aian,pct_aapi,pct_nathawaiian,pct_hisp,pct_nonhisp_white,pct_female,pct_rural,exconfed,netmigration_pct,n_white_evangelical,pct_white_evangelical
1001,Alabama,Autauga,31.1,33.5,6.4,0.23199999999999998,235,0.00424065251912805,0.00424065251912805,3.3,8.9,6.2,0.053,5908,18110,24661,0.239568549532,0.734357893029,49.48%,0.42,1,1,AL,Autauga County,0.198391789,4.501498764,4.850213518,0.138203356,NA,0.079189687,0.144738863,0.333333333,504.5,23.76404065,28.85292048,NA,23.14478464,0.100473142,2138.5,2940.473684,3491.8125,0.35,NA,0.4,0.885166056,0.604999304,0.027281064,0.159,NA,0.107843137,0.561930091,0.041984733,0.158049098,5.090408401,272.2822201,10.4,0,0.136309665,0.120325983,0.011161244,0.015435764,77.16258132,NA,NA,74.88397873,NA,77.49275921,0.132529581,0.158092307,0.127,230.2,0.156,0.384433321,0.13007961,0.025471218,0.89,58233,NA,NA,28808,86220,65992,0.474928524,24.79123854,24.19206212,55869,0.232060714,0.159730799,0.198643255,0.004761138,0.011741753,0.001038143,0.029909252,0.737707852,0.515079919,0.420021623,1,0.004206268234620273,27503,0.4922765755606866
1003,Alabama,Baldwin,26.7,28.8,6.5,0.29,4289,0.0205645296625001,0.0205645296625001,3.1,10,6.6,0.054000000000000006,18409,72780,94090,0.195653098098,0.773514719949,57.79%,0.423,1,3,AL,Baldwin County,0.164606753,3.647977757,4.768293531,0.148787062,0.061014263,0.075503356,0.187369576,0.296089386,297.2,26.00690449,32.93671323,44.97138185,24.32713755,0.131689826,1424.980392,2029.4,1014.7,0.39,0.3,0.43,0.90806157,0.671086467,0.027258343,0.135,0.204225352,NA,0.33320776,0.242281682,0.098279465,4.385134628,203.6603963,7.2,0,0.129966507,0.119875075,0.010179287,0.003349314,78.21340489,NA,83.02795285,75.31251887,91.14699134,78.18041332,0.116116411,0.147555654,0.103,169.3,0.129,0.363779605,0.167534376,0.037712475,0.88,59871,42179,47269,36616,41851,61872,0.400130164,42.49693318,31.84028013,223234,0.213023106,0.209779872,0.086075598,0.007803471,0.010661458,6.89859e-4,0.047188152,0.832073071,0.515096267,0.422790991,1,0.019213023105799296,57986,0.25975433849682394
1005,Alabama,Barbour,19,34.5,7.3,0.125,-253,-0.00974388600038513,-0.00974388600038513,6.3,12.3,10.2,0.086,4848,5431,10390,0.466602502406,0.522714148219,5.61%,0.678,1,5,AL,Barbour County,0.298414999,5.569266683,5.590493512,0.151098901,NA,0.071320182,0.124669737,0.393939394,755.8,37.11426189,37.98882682,56.60377359,34.0063762,0.135040337,3110.125,2742.888889,8228.666667,0.42,NA,0.46,0.732130929,0.356137725,0.037952442,0.41,NA,NA,0.674108751,0.831485588,0.170315003,5.981992797,414.2778607,9.4,0,0.13710555,0.1259426,0.019586507,0.006528836,74.05474119,NA,NA,72.15506815,NA,75.70637921,0.181321046,0.189546946,0.175,471,0.219,0.408895893,0.176732306,0.034298781,0.820689655,35972,NA,52841,22357,30563,47175,0.607699967,19.7225756,19.81447872,24686,0.205865673,0.19691323,0.478287288,0.006886494,0.00469902,0.002106457,0.045248319,0.45511626,0.470793162,0.677896347,1,-0.010248723973102163,8793,0.3561937940533096
1007,Alabama,Bibb,19.4,42.1,4.2,0.106,52,0.00229651547939761,0.00229651547939761,4.1,11.4,7.9,0.066,1874,6733,8748,0.214220393233,0.769661636946,55.54%,0.684,1,7,AL,Bibb County,0.238532836,4.894376504,5.271114229,0.166212534,NA,0.087427746,0.154206033,0.296296296,613.2,37.78644564,24.23469388,NA,40.18691589,0.105990507,1866.666667,4478.8,3732.333333,0.32,NA,0.34,0.790573973,0.401390236,0.030627519,0.259,NA,NA,0.341151386,NA,0.29507727500000003,5.002608335,89.34912598,10,0,0.092552422,0.082637363,0.005639913,0.005639913,73.40878366,NA,NA,72.24132463,NA,73.23515334,0.150659202,0.171417932,0.136,235,0.151,0.401100585,0.134299043,0.028718388,0.88,47918,NA,NA,NA,46103,52543,0.631025958,39.73521358,39.65363718,22394,0.203492007,0.166696437,0.210726087,0.004599446,0.002143431,0.001161025,0.027819952,0.744083237,0.467312673,0.683526075,1,0.0023220505492542644,10159,0.4536482986514245
1009,Alabama,Blount,22.7,33.4,2.7,0.129,-27,-4.6790517121863e-4,-4.6790517121863e-4,3.2,9.8,6.3,0.055,2150,22808,25384,0.0846990230066,0.89851875197,81.38%,0.9,1,9,AL,Blount County,0.219856096,4.98662195,5.357809102,NA,0.064263323,0.074573683,0.158332838,0.182926829,303.4,31.23977756,NA,30.19100431,31.78652016,0.141159969,4820,5256.909091,5782.6,NA,0.13,0.37,0.804905632,0.557509573,0.026686669,0.21,NA,NA,0.035433071,0.377448638,0.148739658,4.427837913,482.6906109,10.6,0,0.101256646,0.07468859,0.018124698,0.011599807,74.37087378,NA,NA,NA,NA,73.88179411,0.148124714,0.171295702,0.146,90.9,0.136,0.388471091,0.179347023,0.044703177,0.929255875,52902,NA,101071,77518,47529,49529,0.504369675,42.76291096,22.04516954,57826,0.229222149,0.187009304,0.015079722,0.006398506,0.003199253,0.001158648,0.096530972,0.867706568,0.507626327,0.89951502,1,-4.6691799536540654e-4,29223,0.5053609103171584
1011,Alabama,Bullock,16.5,33.3,5.4,0.139,-92,-0.00887859486585601,-0.00887859486585601,9.4,11.8,9.4,0.07200000000000001,3530,1139,4701,0.750904062965,0.242288874708,50.86%,0.514,1,11,AL,Bullock County,0.314449319,5.513442487,5.394800262,0.171945701,0.095588235,NA,0.117455315,0.545454546,1222.2,45.50209205,47.32927654,63.29113924,NA,0.118735431,3379.333333,5050.5,3367,0.25,NA,0.45,0.746796226,0.321657251,0.036322125,0.399,NA,NA,0.673859433,0.054054054,NA,5.630648644,311.0273327,9.2,0,0.202997275,0.188466948,0.001089918,0.017711172,74.44035871,NA,NA,72.16442559,NA,78.72236086,0.1787152,0.181598055,0.295,560.1,0.205,0.446527138,0.15785124,0.025737015,0.875,31906,NA,NA,28889,NA,65795,0.76077886,38.3111613,36.16737356,10101,0.208494209,0.169389169,0.690822691,0.008316008,0.002079002,0.007623008,0.085536086,0.20997921,0.454707455,0.513743815,1,-0.009108009108009109,2152,0.21304821304821306
1013,Alabama,Butler,20.7,37.7,4.6,0.145,-119,-0.00595059505950595,-0.00595059505950595,6.2,13.6,10.3,0.071,3716,4891,8685,0.427864133564,0.563154864709,13.53%,0.712,1,13,AL,Butler County,0.27886721,5.387610451,5.718074588,0.146788991,NA,0.094910592,0.125562328,0.307692308,933.2,36.93045564,37.47795415,NA,37.98882682,0.119018326,3936,3241.333333,1768,0.43,NA,0.36,0.850495694,0.403040263,0.036489258,0.346,NA,NA,0.480673033,0.772277228,0.141158221,5.010831628,581.5840052,8.9,1,0.118439716,0.105109489,0.016312057,0.004255319,74.15384618,NA,NA,74.01610137,NA,73.84654357,0.169435374,0.185264872,0.195,344.4,0.191,0.4197117,0.153215749,0.029069767,0.83,39944,34028,92188,29559,NA,51000,0.707462687,34.62673285,34.29418514,19448,0.219765529,0.208196216,0.446318388,0.003959276,0.014345948,4.11353e-4,0.01486014,0.510952283,0.535993418,0.712321574,1,-0.006118881118881119,8653,0.44493006993006995
1015,Alabama,Calhoun,26.5,31.8,7.5,0.17600000000000002,-435,-0.00379544720838314,-0.00379544720838314,3.9,11.4,8.8,0.067,13197,32803,47376,0.278558763931,0.692396994259,41.38%,0.337,1,15,AL,Calhoun County,0.236610574,4.89502775,5.683091019,0.143323806,0.061420346,0.077802477,0.137202635,0.150943396,595.3,32.31714297,32.10702341,35.34956795,32.56682619,0.111038294,1565.438356,1475.38961,817.3021583,0.36,0.35,0.33,0.844326743,0.588384276,0.035382718,0.246,NA,0.196172249,0.487982016,0.295683028,0.158659006,4.843411014,756.0665443,10.8,0,0.12594235,0.106567534,0.016075388,0.008203991,73.45688939,NA,NA,73.74379362,93.37265502,73.00695311,0.15244868,0.178228299,0.17,261.3,0.174,0.382687048,0.140906803,0.028512918,0.911838341,47747,51328,37996,32712,36404,52813,0.586594433,44.39809377,40.8338361,113605,0.215421856,0.180863518,0.209981955,0.00532547,0.009013688,0.001117909,0.04061441,0.717081114,0.52043484,0.336968256,1,-0.003829056819682232,67564,0.5947273447471502
1017,Alabama,Chambers,23.8,38.4,4.2,0.11599999999999999,-137,-0.00404810448246314,-0.00404810448246314,6.5,14.9,8,0.055,5763,7803,13778,0.418275511685,0.566337639715,14.81%,0.491,1,17,AL,Chambers County,0.250739234,5.027349878,5.469922166,0.171708913,NA,0.092744951,0.136704865,0.297297297,711.9,42.28817469,44.50348721,NA,40.3274712,0.116105291,2401.071429,5542.333333,33254,0.37,NA,0.36,0.81621758,0.497990959,0.029337059,0.304,NA,NA,0.314096186,0.876404494,0.118669921,4.798512586,528.9997362,10.2,0,0.148594378,0.113986537,0.032785688,0.01241329,75.02210961,NA,NA,76.70443086,NA,74.38044434,0.15793912,0.175666348,0.184,398.9,0.164,0.405105108,0.146514435,0.027458672,0.806860841,42015,NA,NA,34564,NA,48571,0.704474273,25.54035123,24.4183267,33254,0.207884766,0.201930595,0.397876947,0.003277801,0.011246767,4.51074e-4,0.026192338,0.551241956,0.52201239,0.491480345,1,-0.004119805136224214,12903,0.38801347206351117
1019,Alabama,Cherokee,21.4,36.4,3.8,0.138,141,0.00548104956268222,0.00548104956268222,4.2,10.6,6.6,0.052000000000000005,1524,8809,10503,0.1451013996,0.838712748738,69.36%,0.857,1,19,AL,Cherokee County,0.22887768,4.909955225,5.567413098,NA,NA,0.082360571,0.159408324,0.22,386.7,32.67973856,NA,NA,34.2287695,0.134828072,2603.2,6549,4366,0.37,NA,0.35,0.815725336,0.480059635,0.029127887,0.233,0.016528926,NA,0.054393305,NA,0.162769784,4.831333601,330.438792,10.3,0,0.116720704,0.099905749,0.015748032,0.006484484,74.47838936,NA,NA,NA,NA,74.31466595,0.155688176,0.180784157,0.157,115.1,0.156,0.378639717,0.167600747,0.036179173,0.94,45982,NA,NA,25425,NA,42861,0.62455516,36.50125872,34.98175994,26196,0.188845625,0.2353031,0.040807757,0.006909452,0.003931898,3.0539e-4,0.017140021,0.91670484,0.506565888,0.85736273,1,0.00538250114521301,10865,0.4147579783173003
