statecode,countycode,fipscode,state,county,poor_fair_health,poor_phys_health,poor_ment_health,low_bw_black,low_bw_hisp,low_bw_white,excess_drinking,dui_deaths_percap,sti_percap,teen_births_percap,teen_births_black,teen_births_hisp,teen_births_white,pct_uninsured,pop_pcp_ratio,pop_dentist_ratio,pop_other_ratio,mammogram_black,mammogram_hisp,mammogram_white,HS_comp_pct,somecollege_pct,unemp_pct,childpov_pct,childpov_aian,childpov_aapi,childpov_black,childpov_hisp,childpov_white,income_ineq,viol_crim,airpollution,water_viols,housing_probs,high_housing_costs,overcrowding,lack_kitchen_plumbing,life_expect,life_expect_aian,life_expect_aapi,life_expect_black,life_expect_hisp,life_expect_white,freq_phys_distress,freq_ment_distress,diabetes_pct,hiv_pct,food_insec,insuff_sleep_pct,uninsured_adults,uninsured_children,HS_grad_pct,med_hh_income,med_hh_income_aian,med_hh_income_aapi,med_hh_income_black,med_hh_income_hisp,med_hh_income_white,children_freelunch_pct,segregation_black_white,segregation_nonwhite_white,population,pct_under_18,pct_over_65,pct_black,pct_aian,pct_aapi,pct_nathawaiian,pct_hisp,pct_nonhisp_white,pct_female,pct_rural
1,1,1001,AL,Autauga County,0.198391789,4.501498764,4.850213518,0.138203356,,0.079189687,0.144738863,0.333333333,504.5,23.76404065,28.85292048,,23.14478464,0.100473142,2138.5,2940.473684,3491.8125,0.35,,0.4,0.885166056,0.604999304,0.027281064,0.159,,0.107843137,0.561930091,0.041984733,0.158049098,5.090408401,272.2822201,10.4,0,0.136309665,0.120325983,0.011161244,0.015435764,77.16258132,,,74.88397873,,77.49275921,0.132529581,0.158092307,0.127,230.2,0.156,0.384433321,0.13007961,0.025471218,0.89,58233,,,28808,86220,65992,0.474928524,24.79123854,24.19206212,55869,0.232060714,0.159730799,0.198643255,0.004761138,0.011741753,0.001038143,0.029909252,0.737707852,0.515079919,0.420021623
4,1,4001,AZ,Apache County,0.311938972,6.537621526,6.128870491,,0.087912088,0.080612245,0.152236307,0.335106383,905,34.02241594,,35.05007153,23.42116269,0.21188435,2564.928571,1356.358491,998.4305556,,0.35,0.25,0.804022336,0.511364307,0.0985503,0.447,0.520271607,,,0.394383394,0.050474547,7.724296075,108.9679967,6,1,0.308243728,0.072652162,0.140296979,0.158986175,73.0995187,71.79026924,,,80.2585661,77.01555708,0.218670767,0.20425602,0.163,210.3,0.226,0.396145273,0.244723444,0.142148104,0.714067633,35386,24418,42112,,38467,56082,0.717511962,54.20727637,91.57089474,71887,0.270215755,0.157664112,0.004952217,0.749996522,0.004799199,0.000500786,0.065881175,0.179935176,0.506419798,0.740610755
5,1,5001,AR,Arkansas County,0.277160557,5.467682999,5.125632564,0.171779141,,0.06988189,0.148725422,0.357142857,645.6,53.46260388,60.71428571,,50.47454702,0.087804184,1974.333333,1942.888889,920.3157895,0.43,,0.33,0.839088787,0.553969022,0.03033839,0.241,,,0.406301824,0.103004292,0.14516798,5.854078947,472.8962871,8.3,0,0.098179454,0.08643617,0.009622887,0.004551365,74.24054344,,,73.16157829,,74.63197723,0.170294932,0.17084255,0.185,230.1,0.193,0.355866714,0.106132542,0.042691751,0.921445498,52539,,,28479,31435,54471,0.827091355,35.59378339,35.76389988,17486,0.229154752,0.203076747,0.246768844,0.003488505,0.00823516,0.000343132,0.034427542,0.690552442,0.517499714,0.347073979
6,1,6001,CA,Alameda County,0.149698913,3.808557286,3.988029015,0.109567414,0.062309563,0.056077266,0.180047588,0.250574713,583.3,9.908337908,16.77917537,19.21335682,3.464483272,0.049787775,908.3122616,1040.678082,154.3810272,0.31,0.32,0.4,0.884430467,0.76100479,0.029219064,0.098,0.181454836,0.05414162,0.290289099,0.166630822,0.048107934,5.172784927,628.7819625,8.7,0,0.234646001,0.170878428,0.072969933,0.011562725,83.07669726,82.30141913,88.62118388,75.69759171,84.51338897,82.17501946,0.105369525,0.107839748,0.07,427.3,0.091,0.332085873,0.059185151,0.022673651,0.873471457,107589,71268,124079,51749,77990,114427,0.432101321,50.45188255,35.9313665,1671329,0.203490157,0.142858169,0.101687938,0.010648412,0.323330116,0.00943022,0.223208596,0.306423212,0.507429716,0.003886058
8,1,8001,CO,Adams County,0.18126802,3.893153171,4.008088094,0.14346247,0.086319619,0.083948204,0.19905044,0.340277778,580.9,24.20744161,22.05567452,30.60989643,15.45021199,0.105579215,2168.932203,1526.315634,286.9778148,0.33,0.26,0.39,0.837812833,0.575118423,0.029280424,0.121,0.156021898,0.168421053,0.231892757,0.194933034,0.073599202,3.696996415,372.4275047,9.2,1,0.184727094,0.139469191,0.052950588,0.004984309,79.40075481,76.68402978,85.82497236,76.31343226,82.06893667,78.6378716,0.117847567,0.12827423,0.074,279.2,0.093,0.331082164,0.128910668,0.051805596,0.771492164,75341,68111,71815,46490,58592,81212,0.513724154,51.21624809,26.57255669,517421,0.261278533,0.107316866,0.032549897,0.023360088,0.044909271,0.002189706,0.408060361,0.490277743,0.494386583,0.036204464
9,1,9001,CT,Fairfield County,0.119167196,3.204779036,3.563895832,0.126702054,0.076135352,0.061054975,0.217994122,0.316872428,368.7,8.191001239,13.23979504,26.24808067,1.501074229,0.082650197,1073.746303,1049.31257,315.4956522,0.4,0.41,0.5,0.900207529,0.712399103,0.036330903,0.118,0.053571429,0.087013596,0.186434033,0.246556801,0.038064146,5.795648945,238.1370246,9.5,1,0.212686567,0.187725362,0.027777778,0.010290808,82.98308773,,94.19803749,80.75975362,87.74880182,82.84179122,0.097865713,0.107814062,0.073,333.1,0.099,0.330778705,0.099864542,0.036944397,0.902198601,96966,43482,125033,53679,53413,116337,0.380154693,59.7671592,47.73138679,943332,0.222261092,0.163199171,0.111418885,0.005422269,0.058822345,0.001090814,0.205412305,0.609083546,0.512992245,0.045840609
10,1,10001,DE,Kent County,0.210208587,4.509460834,4.751670183,0.12831656,0.087769784,0.074217858,0.199448658,0.2578125,798,18.76982518,20.62182741,28.55603448,16.48893691,0.069878261,2125.595238,2288.43038,539.6597015,0.51,0.44,0.48,0.874345638,0.601446011,0.041732254,0.178,,0.196392786,0.321144529,0.310149042,0.11993996,4.116157996,448.1459906,7.3,0,0.156752919,0.137922801,0.019801199,0.005916693,77.81500963,,89.8418006,76.94593001,90.6706023,77.59346665,0.137889439,0.151918355,0.139,314.3,0.125,0.393018879,0.082893215,0.037777091,0.881666667,58804,46667,75786,50488,46026,64283,,28.42366764,26.42264766,180786,0.228076289,0.174919518,0.259776753,0.007323576,0.023856936,0.001167126,0.074181629,0.603863131,0.518447225,0.269693796
11,1,11001,DC,District of Columbia,0.146866004,3.280750405,4.165276377,0.135416987,0.074863983,0.058929674,0.234505061,0.281481482,1298.9,23.95126171,35.23758676,42.51537936,1.016044044,0.035520449,850.4297821,813.0748848,194.3676673,0.32,0.32,0.39,0.90923184,0.815628395,0.054850489,0.208,0.174418605,0.026581118,0.374671456,0.142899791,0.014338401,7.154163045,1226.434877,10.3,1,0.209417774,0.179888535,0.035775312,0.007338526,79.01957062,108.6059149,89.86334424,72.69342724,88.34694567,88.04342626,0.093777538,0.1277905,0.081,2360.8,0.116,0.364710436,0.040764051,0.017087965,0.701507137,90395,,106480,45072,81227,141650,,66.96728764,59.04228519,705749,0.181605642,0.123759297,0.443911362,0.005851939,0.044636266,0.00130783,0.112613691,0.374637442,0.525736487,0
12,1,12001,FL,Alachua County,0.180508475,4.161905089,4.850223558,0.164149705,0.069976077,0.073330175,0.21089994,0.29118774,923,11.47807674,29.27685599,7.795751316,6.389486802,0.11559736,639.7061611,562.8514644,155.0680115,0.46,0.37,0.47,0.926111084,0.760030864,0.029486342,0.177,0.028571429,0.086614173,0.400431131,0.180552712,0.090782366,6.164172284,560.5409249,6,1,0.205826537,0.192780792,0.019900498,0.007796071,79.18978166,,94.725222,74.97323811,86.29832175,79.40688525,0.127187234,0.147816602,0.093,431,0.139,0.360247797,0.132477559,0.06225497,0.884863786,49880,38824,57982,31183,41109,56593,0.451824135,38.64742451,28.81272796,269043,0.17948432,0.145969232,0.200183614,0.003746613,0.061518047,0.000739659,0.10489773,0.605984917,0.517995265,0.211934373
13,1,13001,GA,Appling County,0.261477709,5.296144035,5.179370206,0.154320988,0.083682008,0.090735435,0.158606767,0.347826087,431.9,53.62694301,51.68539326,57.5815739,54.0315877,0.18718347,2643.857143,9193,1225.733333,0.3,,0.37,0.749267578,0.45041225,0.038792177,0.31,,,0.318556701,0.351875809,0.302230483,5.035749206,379.1982665,9.4,0,0.117910448,0.086824067,0.032835821,0.010447761,75.09966001,,,71.25013251,,75.40240615,0.169029087,0.174513258,0.165,210.6,0.157,0.412676655,0.228076923,0.093043291,0.89,43821,,,25833,33295,44851,0.90376569,41.55182374,37.5717371,18386,0.245458501,0.177145654,0.188512999,0.005710867,0.008321549,0.002175568,0.100348091,0.686990101,0.501958012,0.714411055
15,1,15001,HI,Hawaii County,0.170861747,3.82679347,4.320233677,0.104046243,0.08440367,0.059009998,0.241755638,0.317241379,345.8,26.3164738,17.63907734,45.62737643,18.06895023,0.064162823,1296.664516,1515.135338,320.8805733,0.27,0.31,0.3,0.923163252,0.598475222,0.034477463,0.188,0.251336898,0.212691354,,0.325756824,0.173092699,5.291393887,237.3314087,15.8,,0.22824547,0.157749924,0.064126463,0.029677131,80.62907009,,81.39926922,80.57169014,76.78609298,80.50292409,0.119747625,0.13374238,0.112,233.6,0.129,0.416162835,0.075764428,0.034607461,0.808250401,64929,30350,71629,71184,53316,60445,0.630378191,56.59072759,24.67944591,201513,0.214383191,0.218551657,0.007061579,0.005672091,0.212323771,0.128388739,0.129018972,0.302000367,0.505500886,0.379908039
16,1,16001,ID,Ada County,0.130567722,3.402468393,4.066918222,0.083417085,0.071487947,0.062804472,0.199830315,0.335766423,463.4,11.91897446,29.5010846,21.46399863,10.22624218,0.094642183,1051.378076,1234.838462,334.6678249,0.34,0.4,0.46,0.951607088,0.736125767,0.025052709,0.096,0.52631579,0.110394843,0.395184724,0.206888109,0.097495174,4.289239608,230.6335017,6.2,1,0.134071416,0.116045219,0.014356104,0.012409514,80.95020667,93.46483756,86.0620181,78.72328178,83.94847898,80.80790125,0.099190184,0.122250473,0.076,41.3,0.091,0.333746314,0.115606774,0.043587292,0.77778939,72295,41474,67771,50882,49849,67696,0.268468627,54.87358863,21.63207478,481587,0.232003771,0.149418485,0.01275782,0.008199972,0.027266102,0.002221821,0.08522863,0.842975413,0.499297116,0.054722006
17,1,17001,IL,Adams County,0.168499004,4.137962246,4.455541775,0.134986226,,0.072324012,0.215673099,0.258064516,360.8,24.9908122,43.69918699,,23.50234202,0.055543704,1059.532258,1308.7,363.5277778,0.71,0.58,0.52,0.925181572,0.664948782,0.034272823,0.183,,0.100628931,0.526520052,0.130208333,0.151642264,4.034287537,346.2692886,8.6,1,0.117625637,0.098294517,0.009286235,0.013656227,78.25289465,,,73.293727,,78.31609657,0.120939451,0.1414552,0.134,87.2,0.102,0.336276804,0.067825853,0.025382384,0.924894652,55942,31607,,26833,65380,54553,0.530710835,50.75997253,39.14843737,65435,0.225582639,0.206510277,0.037823795,0.002903645,0.00939864,0.000275082,0.017742798,0.91403683,0.507419577,0.325991386
18,1,18001,IN,Adams County,0.209801042,4.61397997,5.011358482,,,0.072454164,0.173564795,0.181818182,219.8,25.74911701,,,26.03331277,0.11991774,2545.428571,2555.5,2104.529412,,0.29,0.37,0.847080979,0.519383825,0.027238482,0.213,,,0.976047904,0.212692967,0.235471546,3.954240467,,9.2,0,0.175030108,0.090053213,0.056202328,0.087113609,78.93129953,,,,,78.62774702,0.145387053,0.168363026,0.084,25.5,0.122,0.363765162,0.143304329,0.080219586,0.975,53532,,,,42813,52755,0.398518861,74.51311882,36.30828666,35777,0.314056517,0.158789166,0.004779607,0.003270257,0.003829276,0.000419264,0.04536434,0.935992397,0.500377337,0.536743537
19,1,19001,IA,Adair County,0.139549617,3.3039701,3.615402502,,,0.059259259,0.254452227,0.294117647,269.4,15.625,,,15.68068425,0.052427543,2354.333333,1788,,,,0.46,0.942130987,0.614239482,0.023592619,0.129,,,,0.112903226,0.132129964,4.182491779,102.9795414,7.3,0,0.080996885,0.073644626,0.007476636,0.001246106,78.66357572,,,,,78.66619132,0.101945926,0.120019112,0.151,,0.093,0.326786969,0.060606061,0.033419023,,57977,,,,60875,53586,0.521058965,,7.911197479,7152,0.217980984,0.230425056,0.005732662,0.002516779,0.005313199,0.000419463,0.025447427,0.951202461,0.501957494,1
20,1,20001,KS,Allen County,0.187039163,4.073906489,4.759486818,,,0.062827225,0.18106372,0.076923077,255.6,25.79170748,,,27.1926465,0.088170693,1555.5,1767,824.6,,,0.31,0.919042056,0.612130288,0.035270354,0.24,,,,0.322147651,0.223767383,4.704816157,318.6496146,7.6,1,0.094835681,0.075033327,0.010328639,0.011079812,75.97531452,,,,,75.88327505,0.128194996,0.152664676,0.168,114.3,0.152,0.354398308,0.103619381,0.051148226,0.856673729,46690,,,,,47420,0.517132552,,35.47708939,12369,0.221602393,0.209717843,0.020616056,0.010429299,0.011722856,0.000323389,0.037917374,0.895060231,0.507720915,0.571535413
21,1,21001,KY,Adair County,0.274092733,5.747787449,5.783093274,,,0.079435783,0.145516864,0.181818182,272,22.19626168,,,22.04323866,0.078317017,2745,4800.5,492.3589744,0.53,,0.38,0.795666338,0.474264706,0.053221289,0.298,,,,,0.281412855,4.639535594,39.6039604,8.8,0,0.117605634,0.086206897,0.029577465,0.011267606,76.46120202,,,,,76.420264,0.180045605,0.190875556,0.139,,0.161,0.427930329,0.091817672,0.039741936,0.975,37650,,,,,38536,0.69487666,55.10227667,47.0974889,19202,0.198781377,0.192427872,0.027965837,0.003020519,0.004062077,0.000520779,0.021612332,0.930319758,0.501614415,0.754556175
22,1,22001,LA,Acadia Parish,0.254726961,4.981195334,5.615329239,0.166432584,,0.068736142,0.190067061,0.253333333,527.2,43.81990656,68.97658005,59.64912281,36.35336222,0.097568931,2703.913044,2585.208333,1170.660377,0.42,0.52,0.49,0.789515836,0.459015365,0.053227633,0.265,,,0.726125512,0.401119403,0.229195562,5.903916322,443.4068562,8.7,1,0.125909592,0.082679812,0.034399118,0.01631753,74.90041712,,,69.83927425,97.07601903,75.83609578,0.160061706,0.187295202,0.133,241.1,0.175,0.383826427,0.125106523,0.035466554,0.93,44728,,,19141,,51042,0.519668101,52.07175594,48.43847028,62045,0.257957934,0.157885406,0.177435732,0.004077686,0.00338464,0.000273995,0.027915223,0.773164639,0.510693851,0.516989623
23,1,23001,ME,Androscoggin County,0.177655051,4.24916861,4.874149424,0.090909091,0.078014184,0.07849162,0.211754031,0.283333333,528.6,20.68691155,40.38772213,17.310253,19.23765669,0.097567508,1145.521277,1804.616667,204.6824197,0.29,0.33,0.42,0.901814629,0.668542574,0.029533726,0.153,0.659090909,0.059259259,0.628884826,0.168044077,0.106647383,4.39349378,139.0762361,5.6,1,0.143267425,0.118992119,0.018888766,0.017894621,77.13649809,,,78.11035641,,77.19938536,0.129998334,0.156562872,0.122,162,0.135,0.403988774,0.116326402,0.046350334,0.773515284,58958,,78299,34844,41146,54539,0.541676973,64.76225003,30.51946696,108277,0.215308884,0.181626754,0.043453365,0.004220656,0.00936487,0.000350952,0.019394701,0.901927464,0.51021916,0.433668827
24,1,24001,MD,Allegany County,0.195940727,4.645061104,4.938244688,0.115577889,,0.087108828,0.166404355,0.472222222,337.9,23.72359936,14.21031263,,25.77803452,0.054562878,1650.581395,1304,320.0727273,0.45,0.53,0.48,0.902065263,0.534420397,0.051675849,0.208,,0.096774194,0.425595238,0.280334728,0.217918586,4.539276712,310.5140042,7.5,0,0.142471182,0.129864419,0.010050432,0.008465418,76.68906215,,,74.86864287,,76.25409902,0.13950021,0.154570237,0.14,223.1,0.151,0.412822412,0.064339349,0.025575448,0.9,48170,,,27899,43365,46434,0.560018738,57.91336721,36.90916889,70416,0.172617019,0.205507271,0.081046921,0.002172802,0.01131845,0.000695865,0.019256987,0.866791638,0.478925244,0.272523872
