country,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
USA,1945,0,0,0,0,0,NA,NA,,NA,NA,,140969,11.85629559,10,7.625999928,3,7.625999928,8.939318657,11.85629559,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.493672103,0,0,6.797179699,11.97919083,3.21157217,1,7.687119961,0,0,NA,NA,0,0,0,0,NA
USA,1946,0,0,0,0,0,NA,NA,,NA,NA,,141936,11.86313152,10,7.653999805,3,7.625999928,8.939318657,11.85629559,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,6.797179699,11.97919083,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1947,0,0,0,0,0,NA,NA,,NA,NA,,142713,11.86859131,10,8.024999619,3,7.653999805,8.942983627,11.86313152,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950074,0,0,7.653999805,11.86313152,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1948,0,0,0,0,0,NA,NA,,NA,NA,,145326,11.88673496,10,8.270000458,3,8.024999619,8.990317345,11.86859131,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,8.024999619,11.86859131,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1949,0,0,0,0,0,NA,NA,,NA,NA,,147987,11.90487957,10,8.039999962,3,8.270000458,9.020389557,11.88673496,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,8.270000458,11.88673496,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1950,0,0,0,0,0,NA,NA,,NA,NA,,152273,11.93343067,10,8.772000313,0,8.039999962,8.992184639,11.90487957,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,8.039999962,11.90487957,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1951,0,0,0,0,0,NA,NA,,NA,NA,,155000,11.95118046,10,9.109000206,0,8.772000313,9.079319954,11.93343067,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950134,0,0,8.772000313,11.93343067,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1952,0,0,0,0,0,NA,NA,,NA,NA,,157727,11.96862125,10,9.074000359,0,9.109000206,9.117017746,11.95118046,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950134,0,0,9.109000206,11.95118046,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1953,0,0,0,0,0,NA,NA,,NA,NA,,160475,11.98589325,10,9.300000191,0,9.074000359,9.113168716,11.96862125,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,9.074000359,11.96862125,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1954,0,0,0,0,0,NA,NA,,NA,NA,,163202,12.00274372,10,9.088999748,0,9.300000191,9.137769699,11.98589325,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,9.300000191,11.98589325,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1955,0,0,0,0,0,NA,NA,,NA,NA,,165929,12.01931572,10,9.722999573,0,9.088999748,9.11482048,12.00274372,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,9.088999748,12.00274372,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1956,0,0,0,0,0,NA,NA,,NA,NA,,168882,12.03695583,10,9.711999893,0,9.722999573,9.182249069,12.01931572,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,9.722999573,12.01931572,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1957,0,0,0,0,0,NA,NA,,NA,NA,,171835,12.05428982,10,9.642999649,0,9.711999893,9.181117058,12.03695583,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950134,0,0,9.711999893,12.03695583,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1958,0,0,0,0,0,NA,NA,,NA,NA,,174767,12.07120895,10,9.369999886,0,9.642999649,9.173987389,12.05428982,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950074,0,0,9.642999649,12.05428982,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1959,0,0,0,0,0,NA,NA,,NA,NA,,177720,12.08796501,10,9.838999748,0,9.369999886,9.14526844,12.07120895,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,9.369999886,12.07120895,3.21486783,1,10,0,0,NA,NA,0,0,0,0,NA
USA,1960,0,0,0,0,0,NA,NA,,NA,NA,,180673,12.1044445,10,9.895000458,0,9.838999748,9.194108963,12.08796501,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,9.838999748,12.08796501,3.21486783,1,10,0,0,0,0,0,0,0,0,0
